Brand,Title,Strain,THC Percentage,Price,Image URL,Weight,Value
N/A,TruFlower Ground 7G - Riddler,Riddler                                     -                                     Hybrid,12%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_ground_680x680_1_30.png,7.0,5.6
N/A,TruFlower Ground 7G - Paradise Sky,H                                     -                                     Hybrid,17%,$25.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_ground_680x680_91.png,7.0,4.76
N/A,TruFlower minis 3.5G - CGH,The Cough                                     -                                     Hybrid,22%,$17.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_minis_680x680_1_7.png,3.5,4.529411764705882
N/A,TruFlower Ground 7G - Sour Bomb,Sour Bomb                                     -                                     Hybrid,16%,$25.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_ground_680x680_88.png,7.0,4.48
Roll One,Roll One Flower 3.5G - FRU,Fruitopia                                     -                                     Indica,22%,$20.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_ro_nat_e-comm_web_image_fruitopia_680x680.png,3.5,3.85
N/A,TruFlower minis 3.5G - PDC,Pnpple Upsde Dwn Cke                                     -                                     Sativa,24%,$23.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_minis_680x680_2_9.png,3.5,3.652173913043478
N/A,TruFlower minis 3.5G - DDO,Diesel Dough                                     -                                     Indica,23%,$23.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_minis_680x680_1__1.png,3.5,3.5
Modern Flower,Modern Flower 3.5G - CAF,Cake Face                                     -                                     Hybrid,30%,$30.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_tru_e-comm_web_images_cakeface_2028x2028.png,3.5,3.5
Modern Flower,Modern Flower 3.5G - PDC,Pnpple Upsde Dwn Cke                                     -                                     Sativa,28%,$30.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_tru_e-comm_web_images_pinappleupdside_down_2028x2028.png,3.5,3.2666666666666666
Roll One,Roll One Ground Flower 3.5G - GASP,Gasphalt                                     -                                     Indica,14%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_ro_nat_e-comm_web_image_ground_680x680_40.png,3.5,3.2666666666666666
N/A,TruFlower minis 3.5G - BPR,Banana Power                                     -                                     Hybrid,25%,$27.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_nat_e-comm_web_image_minis_680x680_1_.png,3.5,3.240740740740741
Modern Flower,Modern Flower 3.5G - LKC,LA Kush Cake                                     -                                     Hybrid,27%,$30.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/m/f/mf_la_kush_cake_ecomm.png,3.5,3.15
Modern Flower,Modern Flower 3.5G - WSV,Wood Shiva                                     -                                     Sativa,27%,$30.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_tru_e-comm_web_images_woodshiva_2028x2028.png,3.5,3.15
Roll One,Roll One Ground Flower 3.5G - JLSY,Jealousy                                     -                                     Indica,13%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_ro_nat_e-comm_web_image_ground_680x680_1__28.png,3.5,3.033333333333333
Modern Flower,Modern Flower 3.5G - SAC,Space Age Cake                                     -                                     Indica,30%,$40.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/m/f/mf_space_age_cake_ecomm.png,3.5,2.625
